,3month_performance,avgvol_10
AJGDARTHUR J. GALLAGHER & CO.,14.53%,1.329
SYFDSYNCHRONY FINANCIAL,24.14%,5.642
"BBYDBEST BUY CO., INC.",9.88%,3.106
LENDLENNAR CORPORATION,8.67%,2.126
LEN.BDLENNAR CORPORATION,7.00%,69.873
"MTDDMETTLER-TOLEDO INTERNATIONAL, INC.",20.25%,107.001
FNVDFRANCO-NEVADA CORPORATION,39.15%,408.834
"YUMCDYUM CHINA HOLDINGS, INC.",12.84%,2.394
"OKTADOKTA, INC.",3.80%,2.943
"ANSSDANSYS, INC.",11.93%,400.762
"AWKDAMERICAN WATER WORKS COMPANY, INC.",17.63%,584.34
"TTDDTHE TRADE DESK, INC.",−11.65%,746.256
XPEVDXPENG INC. DR,42.50%,16.322
RRPRXDROYALTY PHARMA PLC,3.59%,2.336
ESDEVERSOURCE ENERGY (D/B/A),1.85%,1.563
AAPPDAPPLOVIN CORPORATION,—,742.19
CCEPDCOCA-COLA EUROPACIFIC PARTNERS PLC,16.52%,1.16
"TSNDTYSON FOODS, INC.",6.30%,1.668
"SWKSDSKYWORKS SOLUTIONS, INC.",5.29%,1.439
"ZZGDZILLOW GROUP, INC.",−12.03%,415.532
"ZDZILLOW GROUP, INC.",−9.70%,2.876
SSGENDSEAGEN INC.,3.58%,809.823
"DDDOGDDATADOG, INC.",16.90%,2.193
"IBKRDINTERACTIVE BROKERS GROUP, INC.",−11.84%,1.52
"EFXDEQUIFAX, INC.",32.10%,722.777
CSDCREDIT SUISSE GROUP DR,−19.49%,8.417
"NDAQDNASDAQ, INC.",16.49%,606.691
"AMCDAMC ENTERTAINMENT HOLDINGS, INC.",492.03%,463.082
GRMNDGARMIN LTD.,16.94%,805.067
"EPAMDEPAM SYSTEMS, INC.",43.80%,382.357
HESDHESS CORPORATION,20.70%,1.705
UUDUNITY SOFTWARE INC.,5.77%,3.312
KEYSDKEYSIGHT TECHNOLOGIES INC.,12.04%,868.189
"MXIMDMAXIM INTEGRATED PRODUCTS, INC.",19.37%,2.255
OXYDOCCIDENTAL PETROLEUM CORPORATION,−2.05%,17.262
VVIACADVIACOMCBS INC.,−45.05%,93.645
"VRSKDVERISK ANALYTICS, INC.",−2.24%,744.176
VVIACDVIACOMCBS INC.,−50.11%,16.09
ZBRADZEBRA TECHNOLOGIES CORPORATION,9.89%,298.564
BKRDBAKER HUGHES COMPANY,6.62%,8.907
SIRIDSIRIUS XM HOLDINGS INC.,11.68%,25.584
"ANETDARISTA NETWORKS, INC.",31.62%,375.646
KSUDKANSAS CITY SOUTHERN,40.38%,1.069
ECDECOPETROL S.A. DR,2.38%,1.024
BLLDBALL CORPORATION,−1.49%,2.452
"RCIDROGERS COMMUNICATION, INC.",10.75%,504.96
"NETDCLOUDFLARE, INC.",38.97%,2.944
HRLDHORMEL FOODS CORPORATION,2.67%,2.245
GGMABDGENMAB A/S DR,32.36%,367.918
DTEDDTE ENERGY COMPANY,10.51%,920.676
ZTODZTO EXPRESS (CAYMAN) INC. DR,−0.47%,3.02
"EDDCONSOLIDATED EDISON, INC.",11.24%,1.848
FWONKDLIBERTY MEDIA CORPORATION - SERIES C LIBERTY FORMULA ONE,−2.81%,743.323
FWONADLIBERTY MEDIA CORPORATION - SERIES A LIBERTY FORMULA ONE,−1.26%,104.772
ZSDZSCALER INC,14.83%,2.783
TMEDTENCENT MUSIC ENTERTAINMENT GROUP DR,−39.89%,15.969
"WORKDSLACK TECHNOLOGIES, INC.",10.74%,4.893
LHDLABORATORY CORPORATION OF AMERICA HOLDINGS,9.76%,816.765
IMODIMPERIAL OIL LIMITED,41.80%,583.647
"EXPEDEXPEDIA GROUP, INC.",1.46%,1.888
IPDINTERNATIONAL PAPER COMPANY,14.42%,3.23
TTCOMDTRIP.COM GROUP LIMITED DR,−3.80%,4.012
TEFDTELEFONICA SA DR,3.66%,1.932
NTRSDNORTHERN TRUST CORPORATION,17.05%,792.452
"VRSNDVERISIGN, INC.",15.93%,477.614
"CAJDCANON, INC. DR",9.35%,307.727
FTVDFORTIVE CORPORATION,5.67%,2.448
"WSTDWEST PHARMACEUTICAL SERVICES, INC.",27.54%,437.396
"OKEDONEOK, INC.",11.36%,2.848
CNHIDCNH INDUSTRIAL N.V.,15.02%,2.969
ABCDAMERISOURCEBERGEN CORPORATION,10.00%,1.087
"TLKDPT TELEKOMUNIKASI INDONESIA, TBK DR",8.64%,519.329
FMSDFRESENIUS MEDICAL CARE AG DR,18.53%,156.37
RCLDD/B/A ROYAL CARIBBEAN CRUISES LTD.,7.47%,4.301
YNDXDYANDEX N.V.,11.89%,1.21
CERNDCERNER CORPORATION,13.34%,3.225
"GWWDW.W. GRAINGER, INC.",15.39%,194.889
"EEDRDENDEAVOR GROUP HOLDINGS, INC.",—,1.034
"MKC.VDMCCORMICK & COMPANY, INCORPORATED",5.84%,866
"MKCDMCCORMICK & COMPANY, INCORPORATED",6.35%,1.323
UMCDUNITED MICROELECTRONICS CORPORATION (NEW) DR,19.30%,6.177
DISHDDISH NETWORK CORPORATION,29.29%,2.703
PKXDPOSCO DR,8.71%,205.033
VMCDVULCAN MATERIALS COMPANY (HOLDING COMPANY),5.24%,895.607
"TDOCDTELADOC HEALTH, INC.",−13.98%,2.665
"APODAPOLLO GLOBAL MANAGEMENT, INC.",21.66%,2.042
WDCDWESTERN DIGITAL CORPORATION,10.56%,3.149
"HUBSDHUBSPOT, INC.",18.20%,412.355
"HIGDHARTFORD FINANCIAL SERVICES GROUP, INC. (THE)",18.95%,2.07
CCVACDCUREVAC N.V.,56.66%,649.331
"DLTRDDOLLAR TREE, INC.",−7.14%,3.707
BIPDBROOKFIELD INFRASTRUCTURE PARTNERS LP LIMITED PARTNERSHIP,7.92%,201.094
CDWDCDW CORPORATION,6.85%,796.983
LIDLI AUTO INC. DR,25.08%,22.846
XXPDXP INC.,10.34%,1.58
"CZRDCAESARS ENTERTAINMENT, INC.",16.34%,3.881
"RNGDRINGCENTRAL, INC.",−19.73%,1.12
"URIDUNITED RENTALS, INC.",4.43%,660.447
"FLTDFLEETCOR TECHNOLOGIES, INC.",−3.93%,386.295
KDKELLOGG COMPANY,11.84%,2.031
SSTXDSEAGATE TECHNOLOGY HOLDINGS PLC,32.31%,2.364
"LNGDCHENIERE ENERGY, INC.",21.34%,1.266
LOGIDLOGITECH INTERNATIONAL S.A. - REGISTERED SHARES,46.28%,802.222
PPLDPPL CORPORATION,2.72%,4.022
RYAAYDRYANAIR HOLDINGS PLC DR,1.46%,265.897
CLXDCLOROX COMPANY (THE),−4.86%,1.203
GIBDCGI INC.,16.99%,153.087
KEYDKEYCORP,7.16%,5.766
"MLMDMARTIN MARIETTA MATERIALS, INC.",5.89%,489.115
AEEDAMEREN CORPORATION,16.09%,1.547
DOVDDOVER CORPORATION,15.06%,593.481
"TERDTERADYNE, INC.",25.53%,1.086
WPMDWHEATON PRECIOUS METALS CORP,35.35%,1.665
NVCRDNOVOCURE LIMITED,64.93%,610.8
RFDREGIONS FINANCIAL CORPORATION,5.58%,6.896
HALDHALLIBURTON COMPANY,−0.25%,8.233
FTSDFORTIS INC.,13.34%,342.803
IXDORIX CORP DR,6.90%,17.809
DKNGDDRAFTKINGS INC.,−11.55%,14.91
XYLDXYLEM INC.,17.92%,645.09
"ETSYDETSY, INC.",−11.53%,2.606
ETRDENTERGY CORPORATION,18.22%,818.237
EIXDEDISON INTERNATIONAL,−2.06%,2.055
"TTWODTAKE-TWO INTERACTIVE SOFTWARE, INC.",14.01%,1.179
MGMDMGM RESORTS INTERNATIONAL,14.69%,7.374
"CFGDCITIZENS FINANCIAL GROUP, INC.",8.79%,3.923
FOXADFOX CORPORATION,−12.24%,2.62
FOXDFOX CORPORATION,−11.04%,1.236
"CHDDCHURCH & DWIGHT COMPANY, INC.",6.42%,1.359
QSRDRESTAURANT BRANDS INTERNATIONAL INC.,5.65%,957.052
"EXPDDEXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",29.41%,1.464
FEDFIRSTENERGY CORP.,15.58%,2.485
FFUTUDFUTU HOLDINGS LIMITED DR,22.27%,5.697
DVNDDEVON ENERGY CORPORATION,25.84%,13.573
TSCODTRACTOR SUPPLY COMPANY,12.55%,957.21
"AGRDAVANGRID, INC.",13.06%,506.672
GNRCDGENERAC HOLDLINGS INC.,11.92%,660.344
"QRVODQORVO, INC.",12.87%,1.064
HPEDHEWLETT PACKARD ENTERPRISE COMPANY,7.36%,10.927
PCGDPACIFIC GAS & ELECTRIC CO.,−7.71%,15.322
MTBDM&T BANK CORPORATION,0.35%,779.221
CCLVTDCLARIVATE PLC,55.81%,4.462
ALLYDALLY FINANCIAL INC.,25.50%,3.868
"TXGD10X GENOMICS, INC.",31.32%,817.579
"CQPDCHENIERE ENERGY PARTNERS, LP",2.82%,176.477
IRDINGERSOLL RAND INC.,−4.63%,1.654
"BURLDBURLINGTON STORES, INC.",−0.16%,610.802
HZNPDHORIZON THERAPEUTICS PUBLIC LIMITED COMPANY,3.11%,1.882
KBDKB FINANCIAL GROUP INC DR,19.46%,165.487
TRUDTRANSUNION,19.00%,1.105
ALBDALBEMARLE CORPORATION,21.39%,889.806
"ITDGARTNER, INC.",23.85%,681.558
GMEDGAMESTOP CORPORATION,43.96%,11.126
CINFDCINCINNATI FINANCIAL CORPORATION,14.71%,545.249
UIDUBIQUITI INC.,−2.94%,84.084
STNEDSTONECO LTD.,−8.44%,2.334
WATDWATERS CORPORATION,20.42%,376.174
TRMBDTRIMBLE INC.,12.48%,1.349
"LYVDLIVE NATION ENTERTAINMENT, INC.",0.34%,1.779
SHGDSHINHAN FINANCIAL GROUP CO LTD DR,23.48%,118.692
"MDBDMONGODB, INC.",9.56%,899.995
TDYDTELEDYNE TECHNOLOGIES INCORPORATED,6.88%,308.892
TALDTAL EDUCATION GROUP DR,−59.22%,22.71
STEDSTERIS PLC (IRELAND),12.27%,1.125
"LYFTDLYFT, INC.",−8.94%,7.084
EXASDEXACT SCIENCES CORPORATION,−3.87%,1.338
CVEDCENOVUS ENERGY INC,16.48%,9.185
HEIDHEICO CORPORATION,19.20%,340.997
HEI.ADHEICO CORPORATION,17.89%,204.991
SPLKDSPLUNK INC.,−11.71%,2.968
"AKAMDAKAMAI TECHNOLOGIES, INC.",19.19%,1.002
TTWDTRADEWEB MARKETS INC.,11.77%,1.158
INCYDINCYTE CORPORATION,9.34%,954.04
KMXDCARMAX INC,−11.31%,1.042
"SNNDSMITH & NEPHEW SNATS, INC. DR",9.30%,972.02
"PLUGDPLUG POWER, INC.",−13.80%,29.563
AAMCRDAMCOR PLC,2.89%,7.872
"ENPHDENPHASE ENERGY, INC.",4.10%,2.427
CEDCELANESE CORPORATION CELANESE CORPORATION,10.13%,743.841
"CAGDCONAGRA BRANDS, INC.",6.19%,2.339
VVTRSDVIATRIS INC.,11.28%,6.527
HTHTDHUAZHU GROUP LIMITED DR,3.69%,1.494
"UALDUNITED AIRLINES HOLDINGS, INC.",5.99%,13.413
"PAYCDPAYCOM SOFTWARE, INC.",−12.56%,408.783
"SSNCDSS&C TECHNOLOGIES HOLDINGS, INC.",10.34%,879.935
GPCDGENUINE PARTS COMPANY,9.41%,722.351
JDJACOBS ENGINEERING GROUP INC.,19.81%,485.111
"LBDL BRANDS, INC.",19.73%,5.518
"COODTHE COOPER COMPANIES, INC.",−2.87%,317.381
"BRDBROADRIDGE FINANCIAL SOLUTIONS, INC.",11.61%,485.595
TFXDTELEFLEX INCORPORATED,−1.89%,205.271
"SSOFIDSOFI TECHNOLOGIES, INC.",—,—
PODDDINSULET CORPORATION,17.02%,556.19
"AAVTRDAVANTOR, INC.",16.96%,3.414
PAGSDPAGSEGURO DIGITAL LTD.,5.12%,2.667
"ULTADULTA BEAUTY, INC.",−3.75%,1.081
CMSDCMS ENERGY CORPORATION,11.84%,1.936
FMXDFOMENTO ECONOMICO MEXICANO S.A.B. DE C.V. DR,18.31%,396.524
"NTAPDNETAPP, INC.",29.46%,2.173
WWMGDWARNER MUSIC GROUP CORP.,1.07%,596.413
"SKMDSK TELECOM CO., LTD. DR",35.99%,437.241
AVYDAVERY DENNISON CORPORATION,18.24%,637.549
"DRIDDARDEN RESTAURANTS, INC.",−4.01%,1.345
"RJFDRAYMOND JAMES FINANCIAL, INC.",11.11%,757.995
"BENDFRANKLIN RESOURCES, INC.",33.87%,2.521
PFGDPRINCIPAL FINANCIAL GROUP INC,8.91%,1.532
OMCDOMNICOM GROUP INC.,7.13%,2.129
"CTLTDCATALENT, INC.",2.37%,1.084
"ALNYDALNYLAM PHARMACEUTICALS, INC.",8.54%,563.958
ZZIDZOOMINFO TECHNOLOGIES INC.,2.40%,1.402
"NVRDNVR, INC.",2.31%,17.329
PBADPEMBINA PIPELINE CORP.,9.70%,1.339
POOLDPOOL CORPORATION,32.65%,261.96
BPYDBROOKFIELD PROPERTY PARTNERS L.P. - LIMITED PARTNERSHIP,7.15%,2.937
EMNDEASTMAN CHEMICAL COMPANY,9.77%,696.989
COUPDCOUPA SOFTWARE INCORPORATED,−11.52%,1.026
"BIODBIO-RAD LABORATORIES, INC.",4.60%,139.146
"BIO.BDBIO-RAD LABORATORIES, INC.",35.19%,616
"JBHTDJ.B. HUNT TRANSPORT SERVICES, INC.",2.62%,562.717
"BBSYDBENTLEY SYSTEMS, INCORPORATED",45.19%,2.681
"ASXDASE TECHNOLOGY HOLDING CO., LTD. DR",17.39%,1.67
AEMDAGNICO EAGLE MINES LIMITED,24.37%,1.221
"CRLDCHARLES RIVER LABORATORIES INTERNATIONAL, INC.",25.56%,763.454
"CAHDCARDINAL HEALTH, INC.",7.68%,2.225
"MKTXDMARKETAXESS HOLDINGS, INC.",−12.55%,308.223
DPZDDOMINO'S PIZZA INC,31.31%,519.845
XXMDQUALTRICS INTERNATIONAL INC.,−4.54%,649.817
IEXDIDEX CORPORATION,12.08%,249.588
WPPDWPP PLC DR,13.19%,74.491
AESDTHE AES CORPORATION,−3.65%,5.109
FTCHDFARFETCH LIMITED,−11.20%,5.171
DGXDQUEST DIAGNOSTICS INCORPORATED,6.47%,1.174
NMRDNOMURA HOLDINGS INC DR,−10.16%,423.408
MKLDMARKEL CORPORATION,7.05%,72.05
"TYLDTYLER TECHNOLOGIES, INC.",2.33%,254.374
ZLABDZAI LAB LIMITED DR,34.27%,516.93
NLOKDNORTONLIFELOCK INC.,35.57%,5.59
"LLUMNDLUMEN TECHNOLOGIES, INC.",3.36%,9.167
TECHDBIO-TECHNE CORP,21.70%,498.235
"PPPDDPPD, INC.",37.41%,1.796
TTMDTATA MOTORS LTD TATA MOTORS LIMITED DR,9.83%,1.407
CHKPDCHECK POINT SOFTWARE TECHNOLOGIES LTD.,5.20%,848.473
ONDON SEMICONDUCTOR CORPORATION,5.50%,4.837
LSXMBDLIBERTY MEDIA CORPORATION - SERIES B LIBERTY SIRIUSXM,37.71%,883
ELANDELANCO ANIMAL HEALTH INCORPORATED,4.13%,2.623
"ROLDROLLINS, INC.",0.95%,1.401
"ZENDZENDESK, INC.",6.93%,766.973
VIPSDVIPSHOP HOLDINGS LIMITED DR,−46.97%,11.78
ACGLDARCH CAPITAL GROUP LTD.,6.69%,1.608
"XPODXPO LOGISTICS, INC.",25.15%,735.013
HBANDHUNTINGTON BANCSHARES INCORPORATED,−6.20%,16.183
TXTDTEXTRON INC.,34.25%,1.285
"FANGDDIAMONDBACK ENERGY, INC. - COMMMON STOCK",3.59%,2.189
"AAFRMDAFFIRM HOLDINGS, INC.",−19.98%,3.547
"NUANDNUANCE COMMUNICATIONS, INC.",36.11%,7.142
"ATUSDALTICE USA, INC.",5.11%,3.992
"GRFSDGRIFOLS, S.A. DR",12.41%,545.169
"MPWRDMONOLITHIC POWER SYSTEMS, INC.",13.44%,314.126
SUZDSUZANO S.A. DR,−8.63%,658.621
"HOLXDHOLOGIC, INC.",−14.13%,2.486
"ENTGDENTEGRIS, INC.",22.35%,639.691
"GGDRXDGOODRX HOLDINGS, INC.",−0.95%,2.151
WABDWESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,10.78%,1.301
"DISCBDDISCOVERY, INC. - SERIES B",1.66%,3.435
"AALDAMERICAN AIRLINES GROUP, INC.",12.95%,35.602
RRLXDRLX TECHNOLOGY INC. DR,−34.92%,8.973
PTCDPTC INC.,11.54%,506.224
LBTYBDLIBERTY GLOBAL PLC,14.33%,586
CGDTHE CARLYLE GROUP INC.,23.55%,1.325
"DISCKDDISCOVERY, INC. - SERIES C",−46.65%,4.49
"PKIDPERKINELMER, INC.",13.13%,744.819
WRKDWESTROCK COMPANY,8.88%,1.493
"DISCADDISCOVERY, INC. - SERIES A",−53.55%,8.475
HHWMDHOWMET AEROSPACE INC.,18.42%,3.529
LBTYADLIBERTY GLOBAL PLC,11.97%,1.053
LBTYKDLIBERTY GLOBAL PLC,13.72%,2.167
FMCDFMC CORPORATION,14.97%,665.706
VVIVDTELEFONICA BRASIL S.A. DR,21.71%,1.383
"EDUDNEW ORIENTAL EDUCATION & TECHNOLOGY GROUP, INC. SPONSORED DR",−49.94%,56.405
SJMDJ.M. SMUCKER COMPANY (THE) NEW,15.33%,1.03
LDLOEWS CORPORATION,14.16%,953.144
MASDMASCO CORPORATION,8.00%,1.775
"PHMDPULTEGROUP, INC.",19.62%,2.579
NNWSADNEWS CORPORATION,6.64%,4.727
CPBDCAMPBELL SOUP COMPANY,4.68%,1.696
LKQDLKQ CORPORATION,15.13%,2.133
SJRDSHAW COMMUNICATIONS INC.,59.64%,606.346
NWSDNEWS CORPORATION,4.86%,504.033
"WYNNDWYNN RESORTS, LIMITED",−3.47%,2.078
"CNPDCENTERPOINT ENERGY, INC (HOLDING CO)",22.92%,4.71
KEPDKOREA ELECTRIC POWER CORPORATION DR,20.24%,154.518
ENIADENEL AMERICAS S.A. DR,−13.78%,1.383
WIXDWIX.COM LTD.,−5.62%,555.944
NNTCODNATURA &CO HOLDING S.A. DR,37.55%,533.45
"LDOSDLEIDOS HOLDINGS, INC.",13.51%,489.45
WHRDWHIRLPOOL CORPORATION,16.73%,523.551
LSXMADLIBERTY MEDIA CORPORATION - SERIES A LIBERTY SIRIUSXM,0.43%,959.095
JHXDJAMES HARDIE INDUSTRIES PLC DR,17.81%,22.595
LSXMKDLIBERTY MEDIA CORPORATION - SERIES C LIBERTY SIRIUSXM,0.70%,957.823
"DDTDDYNATRACE, INC.",7.81%,1.265
UUWMCDUWM HOLDINGS CORPORATION,11.52%,5.433
"BRODBROWN & BROWN, INC.",11.56%,906.46
"CTXSDCITRIX SYSTEMS, INC.",−10.89%,1.255
LNTDALLIANT ENERGY CORPORATION,16.88%,1.907
"NVAXDNOVAVAX, INC.",23.54%,3.102
SSBSWDD/B/A SIBANYE-STILLWATER LIMITED DR,7.33%,2.7
BMRNDBIOMARIN PHARMACEUTICAL INC.,2.70%,811.306
SBNYDSIGNATURE BANK,10.04%,359.579
"EVRGDEVERGY, INC.",11.39%,943.846
MOHDMOLINA HEALTHCARE INC,12.87%,339.961
XRAYDDENTSPLY SIRONA INC.,5.85%,1.366
VEDLDVEDANTA LIMITED DR,21.46%,875.398
TTUYADTUYA INC. DR,—,742.97
"FBHSDFORTUNE BRANDS HOME & SECURITY, INC.",17.47%,778.662
EBRDCENTRAIS ELECTRICAS BRASILEIRAS S A DR,67.21%,709.324
EBR.BDCENTRAIS ELECTRICAS BRASILEIRAS S.A.- ELETROBR?!S DR,62.97%,9.637
IIACDIAC/INTERACTIVECORP,7.14%,1.283
ZNHDCHINA SOUTHERN AIRLINES COMPANY LIMITED DR,3.85%,10.642
"MHKDMOHAWK INDUSTRIES, INC.",7.47%,665.422
"OOSHDOAK STREET HEALTH, INC.",9.75%,3.087
FICODFAIR ISAAC CORPROATION,12.76%,161.835
IEPDICAHN ENTERPRISES L.P. - DEPOSITARY,−8.63%,547.024
CGNXDCOGNEX CORPORATION,4.15%,635.892
TSDTENARIS S.A. DR,1.56%,1.675
ARGXDARGENX SE DR,−12.00%,202.349
PKGDPACKAGING CORPORATION OF AMERICA,4.25%,661.92
MOSDMOSAIC COMPANY (THE),17.00%,4.912
GDDYDGODADDY INC.,12.16%,986.417
NICEDNICE LTD DR,−1.05%,183.066
"FNFDFNF GROUP OF FIDELITY NATIONAL FINANCIAL, INC.",22.41%,1.262
SNADSNAP-ON INCORPORATED,15.06%,289.39
"AAGLDAGILON HEALTH, INC.",—,549.421
"STLDDSTEEL DYNAMICS, INC.",33.53%,2.353
"UHSDUNIVERSAL HEALTH SERVICES, INC.",18.13%,910.062
LNCDLINCOLN NATIONAL CORPORATION,18.48%,1.229
GDSDGDS HOLDINGS LIMITED DR,−11.56%,1.587
"EQHDEQUITABLE HOLDINGS, INC.",−0.29%,3.933
"MTNDVAIL RESORTS, INC.",5.86%,269.057
"CCKDCROWN HOLDINGS, INC.",3.43%,1.398
WRBDW.R. BERKLEY CORPORATION,1.35%,618.55
"SAMDBOSTON BEER COMPANY, INC. (THE)",1.39%,315.684
IVZDINVESCO LTD,20.44%,5.803
OTEXDOPEN TEXT CORPORATION,8.42%,575.671
ATODATMOS ENERGY CORPORATION,10.18%,900.408
"ABMDDABIOMED, INC.",1.83%,283.392
WLKDWESTLAKE CHEMICAL CORPORATION,10.47%,381.402
"PENNDPENN NATIONAL GAMING, INC.",−22.90%,3.423
TAPDMOLSON COORS BEVERAGE COMPANY,27.25%,1.987
"IPGDINTERPUBLIC GROUP OF COMPANIES, INC. (THE)",17.17%,4.385
RRHDRH,41.44%,416.293
"CHRWDC.H. ROBINSON WORLDWIDE, INC.",7.34%,1.008
"UUPSTDUPSTART HOLDINGS, INC.",262.71%,4.344
TAP.ADMOLSON COORS BEVERAGE COMPANY MOLSON COORS BREWING COMPANY,−5.56%,563
"HASDHASBRO, INC.",−2.61%,585.422
"CLRDCONTINENTAL RESOURCES, INC.",14.84%,1.806
"WSMDWILLIAMS-SONOMA, INC.",29.16%,1.478
NDSNDNORDSON CORPORATION,13.24%,324.224
CNADCNA FINANCIAL CORPORATION,4.17%,149.613
"LIIDLENNOX INTERNATIONAL, INC.",16.75%,175.007
"PWRDQUANTA SERVICES, INC.",10.68%,963.768
CDAYDCERIDIAN HCM HOLDING INC.,6.37%,747.111
IHGDINTERCONTINENTAL HOTELS GROUP DR,0.21%,65.999
"BBILLDBILL.COM HOLDINGS, INC.",10.94%,1.307
TECKDTECK RESOURCES LTD,12.74%,4.899
BWADBORGWARNER INC.,6.84%,1.99
ACHDALUMINUM CORPORATION OF CHINA LIMITED DR,15.68%,141.97
BGDBUNGE LIMITED BUNGE LIMITED,14.20%,1.105
GGGDGRACO INC.,13.08%,468.821
AAPDADVANCE AUTO PARTS INC ADVANCE AUTO PARTS INC W/I,9.35%,1.086
QSDQUANTUMSCAPE CORPORATION,−35.29%,16.505
DVADDAVITA INC.,10.29%,529.698
SIDDCOMPANHIA SIDERURGICA NACIONAL S.A. DR,40.38%,3.587
"CXDCEMEX, S.A.B. DE C.V. SPONSORED DR",21.65%,9.19
ALLEDALLEGION PLC,18.47%,583.611
"LWDLAMB WESTON HOLDINGS, INC.",−0.59%,790.398
NCLHDNORWEGIAN CRUISE LINE HOLDINGS LTD.,12.96%,19.025
FDSDFACTSET RESEARCH SYSTEMS INC.,2.30%,148.116
AARVLDARRIVAL,10.85%,2.419
"SEDGDSOLAREDGE TECHNOLOGIES, INC.",−5.45%,692.949
ATHDATHENE HOLDING LTD.,21.80%,1.323
"TPRDTAPESTRY, INC.",−1.37%,3.343
DARDDARLING INGREDIENTS INC.,−1.49%,1.405
RPMDRPM INTERNATIONAL INC.,8.68%,405.476
MMCFEDMCAFEE CORP.,16.97%,798.129
ESTCDELASTIC N.V.,19.22%,1.408
NWLDNEWELL BRANDS INC.,11.94%,2.229
RDYDDR. REDDY'S LABORATORIES LTD DR,18.17%,103.13
"CBOEDCBOE GLOBAL MARKETS, INC.",6.28%,481.78
"CFDCF INDUSTRIES HOLDINGS, INC.",12.04%,1.621
LEADLEAR CORPORATION,9.21%,386.06
"GPSDGAP, INC. (THE)",8.55%,8.952
TEVADTEVA PHARMACEUTICAL INDUSTRIES LIMITED DR,0.56%,6.928
