,3month_performance,avgvol_10
SCDSANTANDER CONSUMER USA HOLDINGS INC.,45.00%,683.94
"GHDGUARDANT HEALTH, INC.",−8.84%,794.266
SQMDSOCIEDAD QUIMICA Y MINERA S.A. DR,−8.31%,1.345
TTPLDTEXAS PACIFIC LAND CORPORATION,19.79%,62.559
"DBXDDROPBOX, INC.",22.60%,7.243
"WWTRGDESSENTIAL UTILITIES, INC.",13.95%,738.185
BAHDBOOZ ALLEN HAMILTON HOLDING CORPORATION,10.11%,887.409
ICLRDICON PLC,22.01%,423.79
"JKHYDJACK HENRY & ASSOCIATES, INC.",3.44%,415.891
MMPDMAGELLAN MIDSTREAM PARTNERS L.P. LIMITED PARTNERSHIP,14.84%,1.033
CEADCHINA EASTERN AIRLINES CORPORATION LTD. DR,−1.47%,10.662
MASIDMASIMO CORPORATION,−6.91%,344.904
PNRDPENTAIR PLC.,15.44%,1.025
OOTLYDOATLY GROUP AB DR,—,3.862
SMGDSCOTTS MIRACLE-GRO COMPANY (THE),3.74%,478.697
KLDKIRKLAND LAKE GOLD LTD.,27.04%,1.245
"MMRVIDMARAVAI LIFESCIENCES HOLDINGS, INC.",19.72%,1.227
"IQDIQIYI, INC. DR",−45.11%,10.012
OZONDOZON HOLDINGS PLC DR,11.61%,1.496
"BKIDBLACK KNIGHT, INC.",−0.96%,1.371
LPLADLPL FINANCIAL HOLDINGS INC.,4.94%,530.869
BHCDBAUSCH HEALTH COMPANIES INC.,−4.41%,1.858
"GGFLDGFL ENVIRONMENTAL INC. SUBORDINATE VOTING SHARES, NO PAR VALUE",−0.13%,780.841
TTCDTORO COMPANY (THE),7.07%,492.045
ZNGADZYNGA INC.,5.18%,11.439
"AVLRDAVALARA, INC.",−2.88%,674.661
"TREXDTREX COMPANY, INC.",9.70%,626.057
"FFIVDF5 NETWORKS, INC.",−0.49%,517.006
"WSODWATSCO, INC.",21.13%,122.464
"CREEDCREE, INC.",2.16%,1.104
UHALDAMERCO,−6.54%,80.346
IPGPDIPG PHOTONICS CORPORATION,4.19%,276.22
"PRAHDPRA HEALTH SCIENCES, INC.",18.51%,568.744
GGLDGLOBE LIFE INC.,7.04%,317.358
OCDOWENS CORNING INC,28.41%,821.867
AOSDA.O. SMITH CORPORATION,7.03%,1.113
"PPCORDPROCORE TECHNOLOGIES, INC.",—,428.325
"HSICDHENRY SCHEIN, INC.",19.31%,984.84
WBDWEIBO CORPORATION DR,−8.40%,1.327
CMADCOMERICA INCORPORATED,7.65%,1.208
"TRGPDTARGA RESOURCES, INC.",37.94%,3.189
MRODMARATHON OIL CORPORATION,10.50%,20.02
"FIVNDFIVE9, INC.",4.51%,723.036
QGENDQIAGEN N.V.,1.95%,711.064
BAPDCREDICORP LTD.,−11.83%,925.314
"CABODCABLE ONE, INC.",−2.82%,45.231
JAZZDJAZZ PHARMACEUTICALS PLC,9.33%,486.568
WALDWESTERN ALLIANCE BANCORPORATION,6.75%,710.481
RSDRELIANCE STEEL & ALUMINUM CO.,14.22%,341.418
BEPDBROOKFIELD RENEWABLE PARTNERS L.P.,0.91%,270.104
PPLTKDPLAYTIKA HOLDING CORP.,−1.37%,771.86
SSLDSASOL LTD. DR,18.52%,373.919
"CHGGDCHEGG, INC.",−8.58%,1.444
LLEVIDLEVI STRAUSS & CO,6.66%,1.61
JLLDJONES LANG LASALLE INCORPORATED,16.19%,329.953
FHNDFIRST HORIZON CORPORATION,11.61%,3.696
BRKRDBRUKER CORPORATION,18.22%,617.569
"EWBCDEAST WEST BANCORP, INC.",−3.48%,665.154
"FIVEDFIVE BELOW, INC.",−0.51%,845.356
GGBDGERDAU S.A. DR,36.58%,16.158
"REDEVEREST RE GROUP, LTD.",2.69%,525.954
HUBBDHUBBELL INC,2.36%,147.996
DOXDAMDOCS LIMITED,3.40%,570.951
AGCODAGCO CORPORATION,2.48%,603
DXCDDXC TECHNOLOGY COMPANY,44.04%,2.68
GFIDGOLD FIELDS LIMITED DR,18.32%,6.671
GGPORDGULFPORT ENERGY CORPORATION,—,34.428
"AFGDAMERICAN FINANCIAL GROUP, INC.",4.13%,687.811
BCHDBANCO DE CHILE BANCO DE CHILE DR,−14.95%,172.79
OLEDDUNIVERSAL DISPLAY CORPORATION,7.85%,214.485
"PENDPENUMBRA, INC.",5.45%,378.371
RHIDROBERT HALF INTERNATIONAL INC.,16.35%,757.914
"MKSIDMKS INSTRUMENTS, INC.",21.19%,307.273
"FNDDFLOOR & DECOR HOLDINGS, INC.",7.01%,618.983
RGENDREPLIGEN CORPORATION,1.31%,417.773
BSACDBANCO SANTANDER - CHILE DR,−14.24%,561.578
WUDWESTERN UNION COMPANY (THE),−1.91%,3.987
KGCDKINROSS GOLD CORPORATION,24.07%,9.251
PEGADPEGASYSTEMS INC.,8.02%,339.211
"PFPTDPROOFPOINT, INC.",40.83%,1.246
NIDNISOURCE INC,15.74%,3.562
"LADDLITHIA MOTORS, INC. COMMON STOCK",−11.25%,494.668
"MORNDMORNINGSTAR, INC.",−1.93%,97.335
UGIDUGI CORPORATION,15.58%,1.024
DLBDDOLBY LABORATORIES,−1.45%,336.992
"AIZDASSURANT, INC.",21.49%,362.948
CGCDCANOPY GROWTH CORPORATION,−16.88%,6.51
PNWDPINNACLE WEST CAPITAL CORPORATION,11.17%,757.136
CSLDCARLISLE COMPANIES INCORPORATED,20.43%,187.554
YDALLEGHANY CORPORATION,10.15%,61.484
OOPENDOPENDOOR TECHNOLOGIES INC,−16.15%,10.723
CLFDCLEVELAND-CLIFFS INC.,32.40%,16.542
NLSNDNIELSEN N.V.,2.51%,3.076
"BYNDDBEYOND MEAT, INC.",12.67%,8.934
AQNDALGONQUIN POWER & UTILITIES CORP.,2.88%,861.617
ICLDICL GROUP LTD.,28.74%,225.78
AUDANGLOGOLD ASHANTI LIMITED DR,2.37%,3.951
"AACIDALBERTSONS COMPANIES, INC.",19.57%,964.5
STDSENSATA TECHNOLOGIES HOLDING PLC,2.63%,813.544
ATHMDAUTOHOME INC. DR,−26.92%,884.983
MIDDDTHE MIDDLEBY CORPORATION,3.08%,737.373
"AXONDAXON ENTERPRISE, INC.",5.79%,315.561
LLSPDDLIGHTSPEED POS INC. SUBORDINATE VOTING SHARES,33.50%,881.589
ZZIONDZIONS BANCORPORATION N.A.,0.33%,952.742
AEGDAEGON N.V.,−8.75%,1.773
"UAADUNDER ARMOUR, INC.",−3.75%,5.225
CIENDCIENA CORPORATION,23.52%,1.981
ACMDAECOM,9.69%,771.071
"UUADUNDER ARMOUR, INC.",0.73%,5.06
"AZPNDASPEN TECHNOLOGY, INC.",−5.71%,445.632
"ATRDAPTARGROUP, INC.",3.49%,179.226
ARESDARES MANAGEMENT CORPORATION,9.77%,985.156
"ALVDAUTOLIV, INC.",11.02%,419.664
MBTDMOBILE TELESYSTEMS PJSC DR,15.17%,2.435
FLEXDFLEX LTD.,15.06%,3.177
"BBBIODBRIDGEBIO PHARMA, INC.",4.15%,778.493
PCTYDPAYLOCITY HOLDING CORPORATION,1.19%,163.622
ARMKDARAMARK,−14.41%,1.837
PSXPDPHILLIPS 66 PARTNERS LP,28.53%,833.317
SEICDSEI INVESTMENTS COMPANY,7.36%,476.751
"JNPRDJUNIPER NETWORKS, INC.",16.74%,3.12
"DDNBDDUN & BRADSTREET HOLDINGS, INC.",−3.28%,2.077
BAKDBRASKEM SA DR,128.97%,356.956
"BERYDBERRY GLOBAL GROUP, INC.",13.04%,738.925
CSANDCOSAN S.A. DR,24.44%,249.153
"VVRTDVERTIV HOLDINGS, LLC",30.47%,2.637
DECKDDECKERS OUTDOOR CORPORATION,2.47%,316.873
CRSPDCRISPR THERAPEUTICS AG,4.91%,852.725
ERIEDERIE INDEMNITY COMPANY,−16.17%,98.246
"CCHPTDCHARGEPOINT HOLDINGS, INC.",14.95%,4.665
"PSODPEARSON, PLC DR",9.78%,222.106
"NBIXDNEUROCRINE BIOSCIENCES, INC.",6.59%,835.896
WEXDWEX INC.,−6.99%,416.718
"NNTRADNATERA, INC.",9.54%,982.451
"ARWDARROW ELECTRONICS, INC.",18.52%,540.926
"WESDWESTERN MIDSTREAM PARTNERS, LP",11.40%,1.067
"CBSHDCOMMERCE BANCSHARES, INC.",−3.16%,438.041
CAEDCAE INC.,−0.43%,233.243
BBDBLACKBERRY LIMITED,61.74%,154.197
OSKDOSHKOSH CORPORATION (HOLDING COMPANY),15.51%,550.331
"HIIDHUNTINGTON INGALLS INDUSTRIES, INC.",15.79%,330.874
PPSFEDPAYSAFE LIMITED,−16.04%,7.871
"MTZDMASTEC, INC.",27.26%,824.217
HNPDHUANENG POWER INTL DR,8.97%,24.465
RUNDSUNRUN INC.,−8.50%,5.034
SCIDSERVICE CORPORATION INTERNATIONAL,10.05%,721.431
AAPADAPA CORPORATION,1.08%,7.227
RLDRALPH LAUREN CORPORATION,−4.43%,950.914
GLOBDGLOBANT S.A.,11.08%,314.294
"TLRYDTILRAY, INC. - CLASS 2",−12.04%,39.262
BFAMDBRIGHT HORIZONS FAMILY SOLUTIONS INC.,−11.23%,585.121
WWFGDWEST FRASER TIMBER CO. LTD,10.09%,483.222
SSKLZDSKILLZ INC.,−9.69%,16.372
SEEDSEALED AIR CORPORATION,26.09%,1.106
KKCDKINGSOFT CLOUD HOLDINGS LIMITED DR,−15.69%,1.057
USFDDUS FOODS HOLDING CORP.,2.66%,2.092
"MRTXDMIRATI THERAPEUTICS, INC.",−11.41%,384.459
DNLIDDENALI THERAPEUTICS INC.,26.86%,803.785
DKSDDICK'S SPORTING GOODS INC,26.94%,3.104
"GWREDGUIDEWIRE SOFTWARE, INC.",6.05%,581.279
"BLDRDBUILDERS FIRSTSOURCE, INC.",−5.41%,2.351
"MANHDMANHATTAN ASSOCIATES, INC.",20.15%,350.189
"RGADREINSURANCE GROUP OF AMERICA, INCORPORATED",−0.38%,321.084
JBLDJABIL INC.,32.80%,753.697
CCJDCAMECO CORPORATION,39.92%,4.848
BBMBLDBUMBLE INC.,−25.06%,2.145
GDGENPACT LIMITED,10.37%,1.106
"FCNCADFIRST CITIZENS BANCSHARES, INC.",10.24%,44.386
ADTDADT INC.,46.12%,3.288
KSSDKOHL'S CORPORATION,−4.50%,3.995
VSTDVISTRA CORP.,−6.73%,6.022
"NRGDNRG ENERGY, INC.",−17.10%,3.405
NFEDNEW FORTRESS ENERGY INC.,4.74%,490.522
"LAZRDLUMINAR TECHNOLOGIES, INC.",13.73%,7.054
AMEDDAMEDISYS INC,5.55%,162.856
"ARWRDARROWHEAD PHARMACEUTICALS, INC.",24.93%,817.239
TTFIIDTFI INTERNATIONAL INC.,25.07%,400.449
"PAADPLAINS ALL AMERICAN PIPELINE, L.P.",20.17%,3.984
"CCRCTDCRICUT, INC.",—,869.835
"SPCEDVIRGIN GALACTIC HOLDINGS, INC.",30.76%,45.53
"SYNHDSYNEOS HEALTH, INC.",14.01%,1.546
CPRIDCAPRI HOLDINGS LIMITED,4.85%,2.528
GNTXDGENTEX CORPORATION,−3.65%,1.284
OOVVDOVINTIV INC. (DE),18.66%,2.909
TTIXTDTELUS INTERNATIONAL (CDA) INC. SUBORDINATE VOTING SHARES,6.70%,97.14
MLCODMELCO RESORTS & ENTERTAINMENT LIMITED DR,−20.35%,2.941
"ALKDALASKA AIR GROUP, INC.",−3.57%,1.374
EHCDENCOMPASS HEALTH CORPORATION,0.60%,572.981
TTSPDTUSIMPLE HOLDINGS INC.,—,366.654
"EEFTDEURONET WORLDWIDE, INC.",−4.69%,215.189
"YETIDYETI HOLDINGS, INC.",36.05%,1.349
HDHYATT HOTELS CORPORATION,−9.40%,441.774
PBCTDPEOPLE'S,0.48%,2.371
"BSMXDBANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER MEXICO DR",28.54%,710.292
"FFOURDSHIFT4 PAYMENTS, INC.",31.46%,537.353
ITTDITT INC.,6.69%,337.371
"RGLDDROYAL GOLD, INC.",17.26%,301.438
"OMFDONEMAIN HOLDINGS, INC.",11.38%,1.005
"FSLRDFIRST SOLAR, INC.",4.98%,1.052
"WMSDADVANCED DRAINAGE SYSTEMS, INC.",7.58%,444.115
"CASYDCASEYS GENERAL STORES, INC.",6.47%,241.904
ORIDOLD REPUBLIC INTERNATIONAL CORPORATION,22.49%,1.471
"DCIDDONALDSON COMPANY, INC.",4.34%,478.996
"WWDDWOODWARD, INC.",8.72%,251.519
JEFDJEFFERIES FINANCIAL GROUP INC.,0.95%,1.485
PVHDPVH CORP.,3.66%,1.033
"VOYADVOYA FINANCIAL, INC.",1.67%,1.06
SMARDSMARTSHEET INC.,5.75%,1.515
UTHRDUNITED THERAPEUTICS CORPORATION,9.87%,437.274
"CHDNDCHURCHILL DOWNS, INCORPORATED",−11.75%,324.999
CHEDCHEMED CORP,12.86%,62.613
"ANDAUTONATION, INC.",7.12%,807.984
OLNDOLIN CORPORATION,55.35%,1.233
KNXDKNIGHT-SWIFT TRANSPORTATION HOLDINGS INC.,3.22%,1.318
"TOLDTOLL BROTHERS, INC.",13.01%,1.738
XLRNDACCELERON PHARMA INC.,0.38%,297.32
CCNXCDCONCENTRIX CORPORATION,11.78%,219.634
"TPXDTEMPUR SEALY INTERNATIONAL, INC.",5.01%,1.81
"LECODLINCOLN ELECTRIC HOLDINGS, INC.",5.78%,159.667
"CFRDCULLEN/FROST BANKERS, INC.",5.60%,194.76
PIIDPOLARIS INC.,−6.91%,1.048
AERDAERCAP HOLDINGS N.V.,1.01%,1.056
"FRPTDFRESHPET, INC.",28.47%,277.919
"IIAADIAA, INC.",−0.50%,995.824
"LPLDLG DISPLAY CO, LTD AMERICAN DEPOSITORY SHARES DR",12.80%,687.761
WFDWOORI FINANCIAL GROUP INC. DR,18.67%,11.356
HHESMDHESS MIDSTREAM LP,17.54%,251.618
AXTADAXALTA COATING SYSTEMS LTD.,8.67%,5.083
CIBDBANCOLOMBIA S.A. DR,−7.00%,268.272
BCDBRUNSWICK CORPORATION,−0.18%,760.052
RNRDRENAISSANCERE HOLDINGS LTD.,−9.57%,763.561
VACDMARRIOTT VACATIONS WORLDWIDE CORPORATION,−5.94%,386.153
SNVDSYNOVUS FINANCIAL CORP.,6.14%,766.061
"BRKSDBROOKS AUTOMATION, INC.",33.42%,593.1
"FFINDFIRST FINANCIAL BANKSHARES, INC.",7.54%,343.379
"POSTDPOST HOLDINGS, INC.",10.29%,238.185
HRCDHILL-ROM HOLDINGS INC,5.78%,344.219
FFVRRDFIVERR INTERNATIONAL LTD.,4.03%,598.196
"SITEDSITEONE LANDSCAPE SUPPLY, INC.",2.55%,356.488
TXDTERNIUM S.A. TERNIUM S.A. DR,6.33%,713.954
"LEGDLEGGETT & PLATT, INCORPORATED",12.10%,598.067
FSVDFIRSTSERVICE CORPORATION,11.07%,40.511
THCDTENET HEALTHCARE CORPORATION,22.68%,723.315
CCHNGDCHANGE HEALTHCARE INC.,5.25%,1.752
IIVIDII-VI INCORPORATED,−3.52%,1.224
"HOGDHARLEY-DAVIDSON, INC.",28.04%,1.678
XECDCIMAREX ENERGY CO,3.42%,3.266
"SKXDSKECHERS U.S.A., INC.",24.76%,1.02
"FFATEDFATE THERAPEUTICS, INC.",−2.73%,921.646
SGMSDSCIENTIFIC GAMES CORP,62.97%,936.035
"MATDMATTEL, INC.",0.98%,2.054
KTDKT CORPORATION DR,30.79%,766.319
"PLANDANAPLAN, INC.",−8.83%,3.68
SSHCDSOTERA HEALTH COMPANY,−1.14%,1.007
TCFDTCF FINANCIAL CORPORATION,−4.28%,1.108
"PBDPROSPERITY BANCSHARES, INC.",−1.65%,398.134
AABCLDABCELLERA BIOLOGICS INC.,−1.98%,1.062
"GILDGILDAN ACTIVEWEAR, INC.",18.62%,415.211
"WHDWYNDHAM HOTELS & RESORTS, INC.",12.37%,583.934
NYTDNEW YORK TIMES COMPANY (THE),−14.25%,1.53
ANGIDANGI INC.,−6.60%,1.135
BYDDBOYD GAMING CORPORATION,3.33%,1.357
AADALCOA CORPORATION,32.56%,5.505
FAFDFIRST AMERICAN CORPORATION (NEW),21.98%,567.796
ASNDDASCENDIS PHARMA A/S DR,−7.09%,238.966
"SSQSPDSQUARESPACE, INC.",—,580.863
"EMEDEMCOR GROUP, INC.",19.75%,260.1
BBEPCDBROOKFIELD RENEWABLE CORPORATION,−1.65%,557.567
"GMEDDGLOBUS MEDICAL, INC.",13.53%,353.174
"PNFPDPINNACLE FINANCIAL PARTNERS, INC.",2.61%,274.527
TVDGRUPO TELEVISA S.A. DR,93.55%,1.848
NKLADNIKOLA CORPORATION,20.73%,14.566
"NTNXDNUTANIX, INC.",33.05%,2.467
LSCCDLATTICE SEMICONDUCTOR CORPORATION,28.64%,981.067
XDUNITED STATES STEEL CORPORATION,24.35%,19.721
"EXELDEXELIXIS, INC.",−0.18%,1.663
COTYDCOTY INC.,15.36%,4.64
"SRCLDSTERICYCLE, INC.",9.38%,338.118
"VVMEODVIMEO, INC.",—,4.028
JHGDJANUS HENDERSON GROUP PLC,32.97%,826.825
SFDSTIFEL FINANCIAL CORPORATION,1.17%,564.477
"TXRHDTEXAS ROADHOUSE, INC.",3.62%,975.322
"HQYDHEALTHEQUITY, INC.",5.72%,498.273
CCCIVDCHURCHILL CAPITAL CORP IV,19.96%,15.032
PFGCDPERFORMANCE FOOD GROUP COMPANY,−8.44%,1.406
OGEDOGE ENERGY CORP,6.74%,4.105
"CROXDCROCS, INC.",39.01%,2.68
HBIDHANESBRANDS INC.,−6.80%,2.956
NNOVDNOV INC.,2.11%,3.697
"MDUDMDU RESOURCES GROUP, INC.",8.91%,665.182
NNVSTDENVISTA HOLDINGS CORPORATION,9.46%,1.488
"AMGDAFFILIATED MANAGERS GROUP, INC.",16.65%,300.214
PAASDPAN AMERICAN SILVER CORP.,7.90%,2.16
YYSGDYATSEN HOLDING LIMITED DR,−35.07%,3.036
COGDCABOT OIL & GAS CORPORATION,−11.59%,19.471
"CHHDCHOICE HOTELS INTERNATIONAL, INC.",14.30%,312.286
MMNSODMINISO GROUP HOLDING LIMITED DR,−5.63%,1.314
SONDSONOCO PRODUCTS COMPANY,5.29%,311.346
APPNDAPPIAN CORPORATION,−30.95%,783.283
"AYIDACUITY BRANDS, INC.",42.37%,380.387
WWSCDWILLSCOT MOBILE MINI HOLDINGS CORP.,15.02%,1.728
COLMDCOLUMBIA SPORTSWEAR COMPANY,−3.34%,443.361
MANDMANPOWERGROUP,20.43%,283.989
STAADSTAAR SURGICAL COMPANY,78.91%,452.522
AVALDGRUPO AVAL ACCIONES Y VALORES S.A. DR,−5.75%,59.799
"APPSDDIGITAL TURBINE, INC.",15.29%,3.398
TKRDTIMKEN COMPANY (THE),5.46%,481.651
SNXDSYNNEX CORPORATION,34.76%,195.959
"BPOPDPOPULAR, INC.",13.93%,572.52
ELYDCALLAWAY GOLF COMPANY,20.53%,2.374
MSADMSA SAFETY INCORPORATED,2.41%,75.819
CACCDCREDIT ACCEPTANCE CORPORATION,−7.81%,141.13
HLFDHERBALIFE NUTRITION LTD.,16.97%,914.528
"TTEKDTETRA TECH, INC.",−4.59%,265.044
SLMDSLM CORPORATION,24.34%,2.553
BLDDTOPBUILD CORP.,1.89%,315.822
"PRIDPRIMERICA, INC.",11.78%,101.224
"THODTHOR INDUSTRIES, INC.",−9.99%,815.092
DOOODBRP INC.,5.78%,124.706
UNMDUNUM GROUP,7.74%,1.592
"PLNTDPLANET FITNESS, INC.",−12.74%,781.284
"COHRDCOHERENT, INC.",10.49%,252.201
"BJDBJ'S WHOLESALE CLUB HOLDINGS, INC.",16.04%,1.202
AAZEKDTHE AZEK COMPANY INC.,1.31%,2.212
RAREDULTRAGENYX PHARMACEUTICAL INC.,−16.97%,461.491
INGRDINGREDION INCORPORATED,4.66%,306.072
"PAGDPENSKE AUTOMOTIVE GROUP, INC.",−0.74%,276.019
SSBDSOUTH STATE CORPORATION,3.48%,250.331
RBADRITCHIE BROS. AUCTIONEERS INCORPORATED,10.60%,484.891
"TTMXDTERMINIX GLOBAL HOLDINGS, INC.",6.05%,669.796
BOKFDBOK FINANCIAL CORPORATION,−3.70%,130.464
LPXDLOUISIANA-PACIFIC CORPORATION,25.11%,1.694
EXPDEAGLE MATERIALS INC,17.62%,407.819
"SRPTDSAREPTA THERAPEUTICS, INC.",−4.35%,1.435
RREYNDREYNOLDS CONSUMER PRODUCTS INC.,6.03%,413.347
"CDKDCDK GLOBAL, INC.",−0.63%,489.162
"FLDFOOT LOCKER, INC.",7.67%,1.255
"LFUSDLITTELFUSE, INC.",0.84%,59.559
"AASANDASANA, INC.",30.06%,1.725
LHCGDLHC GROUP,12.49%,150.777
FOXFDFOX FACTORY HOLDING CORP.,18.35%,249.701
PRGODPERRIGO COMPANY PLC,11.76%,1.263
"NXSTDNEXSTAR MEDIA GROUP, INC.",−3.66%,309.161
"CARDAVIS BUDGET GROUP, INC.",37.55%,935.989
NCRDNCR CORPORATION,28.99%,893.125
UPWKDUPWORK INC.,16.96%,1.264
RDFNDREDFIN CORPORATION,0.64%,1.313
HUNDHUNTSMAN CORPORATION,1.82%,2.305
"LSTRDLANDSTAR SYSTEM, INC.",−0.44%,291.846
"VVIRDVIR BIOTECHNOLOGY, INC.",11.84%,961.276
"SSWAVDSHOCKWAVE MEDICAL, INC.",90.04%,339.528
"SFIXDSTITCH FIX, INC.",−15.44%,1.865
TFSLDTFS FINANCIAL CORPORATION,2.19%,250.53
"MEDPDMEDPACE HOLDINGS, INC.",13.75%,118.026
VVVDVALVOLINE INC.,27.97%,858.039
CFXDCOLFAX CORPORATION,−7.73%,1.332
"BWXTDBWX TECHNOLOGIES, INC.",6.92%,243.352
EQTDEQT CORPORATION,25.73%,3.696
"LLMNDDLEMONADE, INC.",14.13%,2.101
LITEDLUMENTUM HOLDINGS INC.,−3.45%,1.033
"CACIDCACI INTERNATIONAL, INC.",17.91%,144.209
JBLUDJETBLUE AIRWAYS CORPORATION,−6.35%,6.22
"OMCLDOMNICELL, INC.",13.45%,224.935
"DCPDDCP MIDSTREAM, LP",22.71%,622.585
RXNDREXNORD CORPORATION,4.24%,604.784
BHVNDBIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,16.82%,637.845
CCDCHEMOURS COMPANY (THE),38.06%,1.145
"SSGFYDSIGNIFY HEALTH, INC.",−2.13%,441.629
"SLABDSILICON LABORATORIES, INC.",−2.09%,237.099
PHIDPLDT INC. SPONSORED DR,4.94%,46.949
"BLDBLACKLINE, INC.",−0.59%,338.746
DADADDADA NEXUS LIMITED DR,−12.57%,1.612
"VIRTDVIRTU FINANCIAL, INC.",14.80%,1.449
"SHLXDSHELL MIDSTREAM PARTNERS, L.P.",18.26%,1.629
"AAIDC3.AI, INC.",−27.15%,4.82
TTIMBDTIM S.A. DR,11.15%,283.202
"VVRMDVROOM, INC.",31.14%,1.754
"CELHDCELSIUS HOLDINGS, INC.",48.95%,1.18
"IIBRXDIMMUNITYBIO, INC.",−45.54%,995.278
DQDDAQO NEW ENERGY CORP. DR,3.40%,2.604
OOLODOLO INC.,—,407.969
"NNCNODNCINO, INC.",−1.37%,894.971
HHCDHOWARD HUGHES CORPORATION (THE),11.63%,218.268
"CLGXDCORELOGIC, INC.",−2.19%,1.109
HFCDHOLLYFRONTIER CORPORATION,−11.00%,7.923
"ACHCDACADIA HEALTHCARE COMPANY, INC.",15.25%,329.3
"LLESLDLESLIE'S, INC.",42.30%,1.444
IIMABDI-MAB DR,49.01%,1.083
"FSLYDFASTLY, INC.",−18.29%,3.564
ADSDALLIANCE DATA SYSTEMS CORPORATION,11.60%,879.635
ARDDARDAGH GROUP S.A.,−4.93%,113.171
NVTADINVITAE CORPORATION,−15.97%,2.943
"WWOOFDPETCO HEALTH AND WELLNESS COMPANY, INC.",6.32%,4.781
VLYDVALLEY NATIONAL BANCORP,6.78%,1.554
CCDDCHINDATA GROUP HOLDINGS LIMITED DR,−4.83%,2.181
ESIDELEMENT SOLUTIONS INC.,24.42%,1.188
EVRDEVERCORE INC.,9.08%,389.741
MDMACY'S INC,12.97%,13.729
"JCOMDJ2 GLOBAL, INC.",12.20%,524.009
"TRIPDTRIPADVISOR, INC.",−11.28%,2.618
